sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
APPL-00000001,2022-01-03,2022,Q1,January,Argentina,South America,Buenos Aires,AirPods (3rd Gen),AirPods,N/A,Starlight,159.27,7,1,148.12,148.12,ARS,907.0,134344.84,Third-Party Retailer,Cash,Government,45–54,N/A,4.1,Kept
APPL-00000002,2022-01-04,2022,Q1,January,Argentina,South America,Buenos Aires,USB-C Woven Charge Cable,Accessories,N/A,Black,29.99,15,5,25.49,127.45,ARS,907.0,115597.15,Authorized Reseller,Debit Card,Business,45–54,N/A,4.8,Kept
APPL-00000003,2022-05-18,2022,Q2,May,Argentina,South America,Buenos Aires,Apple Watch Series 8,Apple Watch,N/A,Titanium,293.92,0,4,293.92,1175.68,ARS,907.0,1066341.76,Corporate / B2B,Credit Card,Individual,18–24,N/A,4.3,Kept
APPL-00000004,2022-05-23,2022,Q2,May,Argentina,South America,Buenos Aires,MacBook Pro 14-inch (M3),Mac,1 TB SSD,Starlight,1932.77,0,2,1932.77,3865.54,ARS,907.0,3506044.78,Carrier Store,Credit Card,Education,45–54,N/A,,Kept
APPL-00000005,2022-07-13,2022,Q3,July,Argentina,South America,Buenos Aires,Apple Watch Ultra 2,Apple Watch,N/A,Midnight,755.44,5,3,717.67,2153.01,ARS,907.0,1952780.07,Apple Store,Net Banking,Education,18–24,N/A,,Kept
APPL-00000006,2022-07-31,2022,Q3,July,Argentina,South America,Buenos Aires,Magic Keyboard,Accessories,N/A,Silver,103.02,0,3,103.02,309.06,ARS,907.0,280317.42,Apple Store,Cash,Education,55+,N/A,4.9,Kept
APPL-00000007,2022-08-01,2022,Q3,August,Argentina,South America,Buenos Aires,MacBook Pro 14-inch (M3),Mac,1 TB SSD,Starlight,2003.7,3,1,1943.59,1943.59,ARS,907.0,1762836.13,Apple Store,Gift Card,Government,35–44,N/A,3.6,Kept
APPL-00000008,2022-08-04,2022,Q3,August,Argentina,South America,Buenos Aires,iPhone 15 Pro Max,iPhone,64 GB,Black,1228.96,15,8,1044.62,8356.96,ARS,907.0,7579762.72,Carrier Store,Gift Card,Education,25–34,iOS 16,4.7,Kept
APPL-00000009,2023-01-14,2023,Q1,January,Argentina,South America,Buenos Aires,Apple TV 4K (3rd Gen),Accessories,N/A,White,122.99,0,8,122.99,983.92,ARS,907.0,892415.44,Authorized Reseller,Gift Card,Government,18–24,N/A,4.7,Kept
APPL-00000010,2023-01-26,2023,Q1,January,Argentina,South America,Buenos Aires,iPad Mini (6th Gen),iPad,128 GB,Starlight,520.05,0,1,520.05,520.05,ARS,907.0,471685.35,Third-Party Retailer,Apple Pay,Business,25–34,N/A,3.6,Kept
APPL-00000011,2023-01-29,2023,Q1,January,Argentina,South America,Buenos Aires,iPad (10th Generation),iPad,128 GB,Silver,415.15,7,2,386.09,772.18,ARS,907.0,700367.26,Third-Party Retailer,Cash,Individual,45–54,N/A,,Kept
APPL-00000012,2023-02-02,2023,Q1,February,Argentina,South America,Buenos Aires,iPad Pro 12.9-inch (M2),iPad,256 GB,Space Gray,1016.04,2,1,995.72,995.72,ARS,907.0,903118.04,Authorized Reseller,Net Banking,Government,55+,N/A,4.4,Kept
APPL-00000013,2023-03-08,2023,Q1,March,Argentina,South America,Buenos Aires,iPhone 15 Pro,iPhone,1 TB,Midnight,1024.23,5,1,973.02,973.02,ARS,907.0,882529.14,Authorized Reseller,Gift Card,Education,35–44,New User,,Kept
APPL-00000014,2023-04-16,2023,Q2,April,Argentina,South America,Buenos Aires,iPhone 15 Plus,iPhone,64 GB,Black Titanium,964.42,10,1,867.98,867.98,ARS,907.0,787257.86,Carrier Store,Gift Card,Education,35–44,iOS 16,3.4,Kept
APPL-00000015,2023-05-17,2023,Q2,May,Argentina,South America,Buenos Aires,iPhone 13 Pro,iPhone,256 GB,Starlight,928.72,0,3,928.72,2786.16,ARS,907.0,2527047.12,Carrier Store,Gift Card,Education,45–54,Other,,Kept
APPL-00000016,2023-07-06,2023,Q3,July,Argentina,South America,Buenos Aires,USB-C Woven Charge Cable,Accessories,N/A,Space Gray,31.03,7,2,28.86,57.72,ARS,907.0,52352.04,Apple Store,Cash,Business,55+,N/A,4.7,Kept
APPL-00000017,2023-08-01,2023,Q3,August,Argentina,South America,Buenos Aires,Magic Keyboard,Accessories,N/A,Silver,101.67,3,2,98.62,197.24,ARS,907.0,178896.68,Authorized Reseller,Apple Pay,Individual,18–24,N/A,4.8,Kept
APPL-00000018,2023-08-07,2023,Q3,August,Argentina,South America,Buenos Aires,AirPods (3rd Gen),AirPods,N/A,Starlight,155.79,0,4,155.79,623.16,ARS,907.0,565206.12,Authorized Reseller,Apple Pay,Individual,55+,N/A,,Kept
APPL-00000019,2023-08-22,2023,Q3,August,Argentina,South America,Buenos Aires,MacBook Air 13-inch (M2),Mac,2 TB SSD,Silver,1059.87,2,2,1038.67,2077.34,ARS,907.0,1884147.38,Third-Party Retailer,EMI / Installment,Business,55+,N/A,4.5,Exchanged
APPL-00000020,2023-08-28,2023,Q3,August,Argentina,South America,Buenos Aires,iPad Pro 11-inch (M2),iPad,1 TB,Space Gray,839.97,0,1,839.97,839.97,ARS,907.0,761852.79,Apple Store,Apple Pay,Government,35–44,N/A,,Kept
APPL-00000021,2023-09-12,2023,Q3,September,Argentina,South America,Buenos Aires,Apple Pencil (2nd Gen),Accessories,N/A,Silver,126.54,5,1,120.21,120.21,ARS,907.0,109030.47,Corporate / B2B,EMI / Installment,Education,35–44,N/A,4.7,Kept
APPL-00000022,2023-11-12,2023,Q4,November,Argentina,South America,Buenos Aires,iPad Air (M1),iPad,1 TB,Blue,639.99,5,2,607.99,1215.98,ARS,907.0,1102893.86,Third-Party Retailer,Cash,Government,25–34,N/A,4.3,Kept
APPL-00000023,2023-11-28,2023,Q4,November,Argentina,South America,Buenos Aires,iPhone SE (3rd Gen),iPhone,512 GB,Blue Titanium,413.49,7,2,384.55,769.1,ARS,907.0,697573.7,Authorized Reseller,Apple Pay,Government,45–54,New User,3.9,Kept
APPL-00000024,2024-04-19,2024,Q2,April,Argentina,South America,Buenos Aires,iPad Pro 11-inch (M2),iPad,128 GB,Purple,775.91,0,1,775.91,775.91,ARS,907.0,703750.37,Apple Store,Credit Card,Government,35–44,N/A,4.7,Kept
APPL-00000025,2024-05-01,2024,Q2,May,Argentina,South America,Buenos Aires,iPad (10th Generation),iPad,256 GB,Starlight,418.64,7,1,389.34,389.34,ARS,907.0,353131.38,Third-Party Retailer,EMI / Installment,Government,18–24,N/A,,Kept
APPL-00000026,2024-06-21,2024,Q2,June,Argentina,South America,Buenos Aires,Magic Mouse,Accessories,N/A,Silver,78.25,5,2,74.34,148.68,ARS,907.0,134852.76,Authorized Reseller,Apple Pay,Individual,35–44,N/A,4.5,Kept
APPL-00000027,2024-07-04,2024,Q3,July,Argentina,South America,Buenos Aires,AirPods (3rd Gen),AirPods,N/A,Sky,156.74,0,1,156.74,156.74,ARS,907.0,142163.18,Corporate / B2B,Cash,Government,55+,N/A,,Kept
APPL-00000028,2024-08-18,2024,Q3,August,Argentina,South America,Buenos Aires,Magic Keyboard,Accessories,N/A,White,91.89,0,1,91.89,91.89,ARS,907.0,83344.23,Corporate / B2B,Debit Card,Individual,35–44,N/A,,Kept
APPL-00000029,2024-08-18,2024,Q3,August,Argentina,South America,Buenos Aires,AirPods Pro (2nd Gen),AirPods,N/A,Midnight,251.4,0,2,251.4,502.8,ARS,907.0,456039.6,Online (Apple.com),Apple Pay,Individual,25–34,N/A,,Kept
APPL-00000030,2024-10-13,2024,Q4,October,Argentina,South America,Buenos Aires,iPhone 14,iPhone,64 GB,Black,797.75,0,2,797.75,1595.5,ARS,907.0,1447118.5,Authorized Reseller,Credit Card,Business,45–54,iOS 15,4.5,Kept
APPL-00000031,2024-10-21,2024,Q4,October,Argentina,South America,Buenos Aires,USB-C Woven Charge Cable,Accessories,N/A,Silver,31.1,10,1,27.99,27.99,ARS,907.0,25386.93,Corporate / B2B,Cash,Education,45–54,N/A,4.6,Kept
APPL-00000032,2022-01-04,2022,Q1,January,Argentina,South America,Córdoba,iPhone 13 Mini,iPhone,1 TB,Starlight,569.57,7,2,529.7,1059.4,ARS,907.0,960875.8,Online (Apple.com),Apple Pay,Business,55+,Other,4.3,Kept
APPL-00000033,2022-03-01,2022,Q1,March,Argentina,South America,Córdoba,AirPods Pro (2nd Gen),AirPods,N/A,White,264.73,10,5,238.26,1191.3,ARS,907.0,1080509.1,Online (Apple.com),Net Banking,Individual,55+,N/A,3.7,Kept
APPL-00000034,2022-03-03,2022,Q1,March,Argentina,South America,Córdoba,iPhone 15,iPhone,256 GB,Silver,792.38,0,2,792.38,1584.76,ARS,907.0,1437377.32,Third-Party Retailer,Debit Card,Education,18–24,iOS 16,3.8,Kept
APPL-00000035,2022-03-06,2022,Q1,March,Argentina,South America,Córdoba,MacBook Air 15-inch (M2),Mac,1 TB SSD,Space Gray,1318.6,2,1,1292.23,1292.23,ARS,907.0,1172052.61,Carrier Store,Debit Card,Government,25–34,N/A,,Kept
APPL-00000036,2022-03-25,2022,Q1,March,Argentina,South America,Córdoba,AirPods Pro (2nd Gen),AirPods,N/A,Midnight,266.75,0,2,266.75,533.5,ARS,907.0,483884.5,Apple Store,Cash,Education,18–24,N/A,3.9,Kept
APPL-00000037,2022-06-29,2022,Q2,June,Argentina,South America,Córdoba,MagSafe Charger,Accessories,N/A,White,38.46,0,1,38.46,38.46,ARS,907.0,34883.22,Carrier Store,Cash,Government,55+,N/A,4.6,Kept
APPL-00000038,2022-07-07,2022,Q3,July,Argentina,South America,Córdoba,MacBook Pro 14-inch (M3),Mac,1 TB SSD,Starlight,2091.83,5,1,1987.24,1987.24,ARS,907.0,1802426.68,Carrier Store,Debit Card,Business,45–54,N/A,3.1,Kept
APPL-00000039,2022-09-19,2022,Q3,September,Argentina,South America,Córdoba,iPad Air (M1),iPad,256 GB,Space Gray,596.41,10,2,536.77,1073.54,ARS,907.0,973700.78,Authorized Reseller,Gift Card,Business,25–34,N/A,3.6,Kept
APPL-00000040,2022-10-09,2022,Q4,October,Argentina,South America,Córdoba,iPhone 15 Pro Max,iPhone,128 GB,Silver,1277.54,2,1,1251.99,1251.99,ARS,907.0,1135554.93,Carrier Store,Apple Pay,Education,18–24,Android,4.8,Kept
APPL-00000041,2022-11-07,2022,Q4,November,Argentina,South America,Córdoba,iPhone 13 Mini,iPhone,1 TB,Black Titanium,623.83,2,2,611.35,1222.7,ARS,907.0,1108988.9,Corporate / B2B,Credit Card,Government,18–24,iOS 16,3.8,Kept
APPL-00000042,2022-11-12,2022,Q4,November,Argentina,South America,Córdoba,Magic Keyboard,Accessories,N/A,Silver,97.11,10,1,87.4,87.4,ARS,907.0,79271.8,Apple Store,Apple Pay,Individual,55+,N/A,3.7,Kept
APPL-00000043,2022-12-08,2022,Q4,December,Argentina,South America,Córdoba,iPhone 15 Pro,iPhone,1 TB,Starlight,1046.86,2,2,1025.92,2051.84,ARS,907.0,1861018.88,Authorized Reseller,Gift Card,Government,25–34,Android,4.4,Kept
APPL-00000044,2023-01-03,2023,Q1,January,Argentina,South America,Córdoba,Apple TV 4K (3rd Gen),Accessories,N/A,Silver,120.65,10,1,108.59,108.59,ARS,907.0,98491.13,Carrier Store,Cash,Business,25–34,N/A,,Kept
